sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
30343;BME280;17145;49.902;8.680;'2024-02-18 00:58:22';101790;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:00:50';101790;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:03:17';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:05:44';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:08:12';101780;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 01:10:39';101790;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 01:13:07';101790;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 01:15:34';101790;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:18:02';101790;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:20:29';101790;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:22:57';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:25:24';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:27:52';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:30:19';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:32:46';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:35:14';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:37:41';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:40:09';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:42:36';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:45:05';101780;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:47:32';101770;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:49:59';101770;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:52:27';101770;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:54:54';101770;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:57:21';101770;;;10;55
30343;BME280;17145;49.902;8.680;'2024-02-18 01:59:49';101770;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:02:16';101760;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:04:43';101760;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:07:11';101760;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:09:38';101760;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:12:06';101760;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:14:33';101760;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:17:01';101760;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:19:28';101760;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:21:56';101760;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:24:25';101750;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:26:52';101750;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:29:20';101750;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:31:47';101750;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:34:15';101750;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:36:42';101750;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:39:10';101750;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:41:37';101750;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:44:04';101750;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:46:32';101750;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:49:00';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:51:27';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:53:56';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:56:24';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 02:58:51';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:01:19';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:03:48';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:06:17';101730;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:08:45';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:11:13';101730;;;10;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:13:41';101730;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:16:08';101730;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:18:35';101730;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:21:04';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:23:31';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:25:58';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:28:28';101740;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:30:56';101730;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:33:24';101730;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:35:51';101730;;;9;57
30343;BME280;17145;49.902;8.680;'2024-02-18 03:38:19';101730;;;9;57
30343;BME280;17145;49.902;8.680;'2024-02-18 03:40:46';101720;;;9;57
30343;BME280;17145;49.902;8.680;'2024-02-18 03:43:14';101720;;;9;57
30343;BME280;17145;49.902;8.680;'2024-02-18 03:45:41';101720;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:48:09';101720;;;9;56
30343;BME280;17145;49.902;8.680;'2024-02-18 03:50:36';101720;;;9;57
